Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
api	FP_EXTERNAL_CALL	FP	external	api.c	986			46	0		true
html	FP_EXTERNAL_CALL	FP	external	html.c	40			46	0		true
lint	FP_EXTERNAL_CALL	FP	external	lint.c	144			51	0		true
reader	FP_EXTERNAL_CALL	FP	external	reader.c	115			46	0		true
regexp	FP_EXTERNAL_CALL	FP	external	regexp.c	29			49	0		true
schema	FP_EXTERNAL_CALL	FP	external	schema.c	38			46	0		true
testFuzzer	BUILD_ERROR	FP						0	0		true
uri	FP_EXTERNAL_CALL	FP	external	uri.c	30			49	0		true
valid	FP_EXTERNAL_CALL	FP	external	valid.c	34			46	0		true
xinclude	FP_EXTERNAL_CALL	FP	external	xinclude.c	36			45	0		true
xml	FP_EXTERNAL_CALL	FP	external	xml.c	45			48	0		true
xpath	FP_EXTERNAL_CALL	FP	external	xpath.c	35			47	0		true
