Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
module_compiler_758_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:45	20	hashtab_map	CWE-476	0	0	BUG-020	
policy_define_641_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	policy_define.c	641	define_common_perms	CWE-416	0	0	BUG-012	
policy_define_1526_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:106	10	define_typebounds_helper	CWE-476	0	0	BUG-013	
policy_define_2888_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:110	33	define_te_avtab_helper	CWE-476	0	0	BUG-014	
policy_define_3906_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:172	28	traverse_and_deref	CWE-476	0	0	BUG-016	
policy_define_4880_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	policy_define.c	4880	define_fs_context	CWE-122	0	0	BUG-010	
policy_define_4584_null-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	policy_define.c	4584	define_user	CWE-476	0	0	BUG-009	
policy_define_6162_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	attempting	policy_define.c	6162	define_genfs_context_helper	CWE-416	0	0	BUG-011	
audit2why_58_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:53	29	load_booleans	CWE-476	0	0	BUG-024	
audit2why_184_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:60	34	finish	CWE-416	0	0	BUG-025	
audit2why_181_double-free	SE_DETECTED	CONCRETE_CONFIRMED	attempting	audit2why.c	181	finish	CWE-415	0	0	BUG-001	
avc_160_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	avc.c	160	avc_init_internal	CWE-125	0	0	BUG-002	
avc_1050_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:80	23	avc_control	CWE-476	0	0	BUG-029	
check_context_27_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	check_context.c	27	security_check_context_raw	CWE-476	0	0	BUG-003	
context_132_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	context.c	132	context_str	CWE-476	0	0	BUG-004	
context_162_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:14	20	my_stpcpy	CWE-476	0	0	BUG-015	
fsetfilecon_36_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	fsetfilecon.c	36	fsetfilecon_raw	CWE-476	0	0	BUG-005	
get_context_list_315_stack-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-underflow	reproducer.c:48	9	get_failsafe_context	CWE-121	0	0	BUG-022	
get_initial_context_26_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	get_initial_context.c	26	security_get_initial_context_raw	CWE-476	0	0	BUG-006	
get_initial_context_51_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:61	10	security_get_initial_context_raw	CWE-476	0	0	BUG-026	
is_customizable_type_47_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:73	38	customizable_init	CWE-122	0	0	BUG-028	
label_402_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	label.c	402	selabel_close	CWE-476	0	0	BUG-007	
label_support_201_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:62	49	digest_add_specfile	CWE-787	0	0	BUG-027	
label_x_202_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:52	20	vuln_close	CWE-476	0	0	BUG-023	
lsetfilecon_12_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	lsetfilecon.c	12	lsetfilecon_raw	CWE-476	0	0	BUG-008	
mapping_89_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:97	29	selinux_set_mapping	CWE-122	0	0	BUG-030	
mapping_148_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:29	26	unmap_perm	CWE-125	0	0	BUG-017	
mapping_193_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:31	25	map_perm	CWE-125	0	0	BUG-018	
mapping_218_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:45	32	map_decision	CWE-125	0	0	BUG-021	
matchmediacon_28_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-underflow	reproducer.c:41	13	matchmediacon	CWE-125	0	0	BUG-019	
