Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
ffmpeg,BUG-034,murmur3.c,59,get_k1,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2934_murmur3.c_129_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/murmur3.c#L59
ffmpeg,BUG-035,aes_ctr.c,104,av_aes_ctr_increment_iv,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2939_aes_ctr.c_103_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/aes_ctr.c#L104
ffmpeg,BUG-036,tea.c,111,av_tea_crypt,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2954_tea.c_113_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/tea.c#L111
ffmpeg,BUG-037,tea.c,56,tea_crypt_ecb,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2985_tea.c_78_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/tea.c#L56
ffmpeg,BUG-038,xtea.c,233,memcpy,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,2,3000_xtea.c_233_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/xtea.c#L233
ffmpeg,BUG-039,twofish.c,325,av_twofish_crypt,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2987_twofish.c_327_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/twofish.c#L325
ffmpeg,BUG-040,bprint.c,41,av_bprint_alloc,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,2998_bprint.c_158_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/bprint.c#L41
ffmpeg,BUG-041,parseutils.c,375,av_parse_color,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,3063_parseutils.c_409_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/parseutils.c#L375
ffmpeg,BUG-042,frame.c,312,frame_copy_props,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,3103_frame.c_370_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/frame.c#L312
ffmpeg,BUG-043,acelp_filters.c,130,ff_acelp_apply_order_2_transfer_function,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3758_acelp_filters.c_130_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/acelp_filters.c#L130
