BugID,File,Line,Function,ErrorType,NumSpecs,RepresentativeSpec
MU-126,thirdparty/libjpeg/jidctint.c,462,jpeg_idct_7x7,heap-buffer-overflow,1,4872_jidctint.c_537_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-127,thirdparty/libjpeg/jidctint.c,4904,jpeg_idct_4x8,heap-buffer-overflow,1,3293_jidctint.c_5061_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-128,thirdparty/libjpeg/jidctint.c,615,jpeg_idct_6x6,heap-buffer-overflow,1,4862_jidctint.c_687_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-129,thirdparty/libjpeg/jidctint.c,740,jpeg_idct_5x5,SEGV,1,4855_jidctint.c_822_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-130,thirdparty/libjpeg/jidctint.c,859,jpeg_idct_4x4,heap-buffer-overflow,1,4846_jidctint.c_934_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-131,thirdparty/libjpeg/jidctint.c,967,jpeg_idct_3x3,SEGV,1,4823_jidctint.c_1031_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-132,thirdparty/mujs/jsproperty.c,239,jsV_delproperty,heap-buffer-overflow,1,6741_jsproperty.c_239_sailor_kernel-lifecycle-mismatch
MU-133,thirdparty/mujs/jsrun.c,387,js_remove,heap-buffer-overflow,1,6755_jsrun.c_391_sailor_kernel-lifecycle-mismatch
MU-134,thirdparty/mujs/jsrun.c,40,js_malloc,heap-buffer-overflow,1,778_jsrun.c_70_local_cpp_cwe-120-overflow
MU-135,thirdparty/mujs/jsrun.c,492,js_isarrayindex,heap-buffer-overflow,1,4929_jsrun.c_492_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-136,thirdparty/mujs/jsrun.c,952,js_delregistry,heap-buffer-overflow,1,6751_jsrun.c_952_sailor_kernel-lifecycle-mismatch
MU-137,thirdparty/mujs/jsrun.c,974,js_delglobal,heap-buffer-overflow,1,6750_jsrun.c_974_sailor_kernel-lifecycle-mismatch
MU-138,thirdparty/openjpeg/src/lib/openjp2/mqc.c,475,opq_mqc_finish_dec,heap-buffer-overflow,1,496_mqc.c_475_local_cpp_cwe-120-overflow
MU-139,thirdparty/zlib/adler32.c,118,adler32_z,heap-buffer-overflow,1,2650_adler32.c_118_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-140,thirdparty/zlib/deflate.c,394,deflateStateCheck,heap-buffer-overflow,1,670_deflate.c_640_local_cpp_cwe-120-overflow
MU-141,thirdparty/zlib/inflate.c,110,inflateStateCheck,heap-buffer-overflow,1,539_inflate.c_1535_local_cpp_cwe-120-overflow
