Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
HTMLparser_1576_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	HTMLparser.c	1576	htmlIsScriptAttribute	CWE-125	0	0		true
HTMLparser_2486_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	HTMLparser.c	2486	htmlFindEntityPrefix	CWE-125	0	0	BUG-001	
HTMLparser_2726_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:27	17	htmlParseData	CWE-125	0	0	BUG-017	
HTMLparser_3270_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	HTMLparser.c	3270	htmlParseCharDataInternal	CWE-125	0	0		true
HTMLparser_4419_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	HTMLparser.c	4419	htmlParseDocument	CWE-125	1	0	BUG-002	
HTMLparser_5046_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:72	18	htmlParseTryOrFinish	CWE-125	0	0	BUG-051	
HTMLparser_5058_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	HTMLparser.c	5058	htmlParseTryOrFinish	CWE-125	0	0		true
HTMLparser_5535_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:94	40	htmlCtxtSetOptionsInternal	CWE-476	0	0	BUG-066	
HTMLtree_1086_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:79	26	htmlNodeDumpInternal	CWE-476	0	0	BUG-055	
SAX2_639_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	strlen-avx2.S	76	__strlen_avx2	CWE-476	0	0	BUG-071	
SAX2_643_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	SAX2.c	643	xmlSAX2AttributeDecl	CWE-476	0	0		true
SAX2_2580_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	SAX2.c	2580	xmlSAX2Text	CWE-122	0	0		true
buf_1125_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	strchr-avx2.S	67	__strchr_avx2	CWE-476	0	0	BUG-070	
catalog_858_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c:65	16	xmlCatalogConvertEntry	CWE-476	0	0	BUG-046	
catalog_901_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	catalog.c	901	xmlCatalogUnWrapURN	CWE-125	0	0		true
catalog_1303_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	catalog.c	1303	xmlParseXMLCatalogNode	CWE-476	0	0		true
catalog_1093_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:61	8	xmlCatalogNormalizePublic	CWE-476	0	0	BUG-044	
catalog_3452_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	catalog.c	3452	xmlCatalogDumpDoc	CWE-476	0	0		true
dict_223_integer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow	dict.c	223	xmlDictAddQString	CWE-190	0	0		true
encoding_750_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:162	20	main	CWE-416	0	0	BUG-014	
encoding_1195_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:40	12	xmlStrcasecmp	CWE-476	1	0	BUG-025	
entities_679_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:41	14	xmlSaveTree	CWE-476	1	0	BUG-026	
entities_715_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:30	8	xmlSaveTree	CWE-476	0	0	BUG-021	
error_384_stack-buffer-overflow	FP	NOT_REPRODUCIBLE	stack-buffer-overflow	error.c	384	xmlParserPrintFileContextInternal	CWE-121	0	0		true
icu_229_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	icu.c	229	main	CWE-476	0	0		true
reader4_46_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	reader4.c	46	processDoc	CWE-476	0	0		true
reader4_50_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:58	24	crashy_printf	CWE-476	0	0	BUG-039	
tree1_72_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tree1.c	72	main	CWE-476	0	0		true
xpath1_216_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	xpath1.c	216	print_xpath_nodes	CWE-476	0	0		true
xpath1_219_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	xpath1.c	219	print_xpath_nodes	CWE-476	0	0		true
list_655_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:116	18	xmlListWalk	CWE-416	0	0	BUG-011	
list_601_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:182	17	main	CWE-416	0	0	BUG-016	
parser_1394_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	parser.c	1394	xmlCheckLanguageID	CWE-125	0	0		true
parser_3495_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	parser.c	3495	xmlExpandPEsInEntityValue	CWE-125	0	0		true
parser_4224_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:59	21	xmlParseAttValueInternal	CWE-476	0	0	BUG-041	
parser_7755_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	parser.c	7755	xmlLoadEntityContent	CWE-125	0	0		true
parser_9551_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:58	31	xmlParseContentInternal	CWE-125	0	0	BUG-040	
