Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
sqlite3intck_331_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:27	30	intckGetToken	CWE-125	0	0	BUG-024	
sqlite3intck_936_double-free	SE_DETECTED	CONCRETE_CONFIRMED	attempting	sqlite3intck.c	936	sqlite3_intck_test_sql	CWE-415	0	0	BUG-083	
test_intck_97_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	test_intck.c	97	testIntckCmd	CWE-476	0	0	BUG-084	
sqlite3-jni_1112_integer-overflow	FP	REPRODUCER_BUILD_FAIL	integer-overflow	sqlite3-jni.c	1112	s3jni__jstring_to_utf8	CWE-190	0	0		true
sqlite3-jni_3292_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:45	29	s3jni_commit_rollback_hook	CWE-476	0	0	BUG-042	
sqlite3-jni_4240_use-after-free	FP	NOT_REPRODUCIBLE	use-after-free	sqlite3-jni.c	4240	sqlite3_jni_prepare_v123	CWE-416	0	0		true
sqlite3-jni_5018_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:36	9	sqlite3_strlike	CWE-125	0	0	BUG-034	
amatch_1160_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:17	19	amatchStrcpy	CWE-122	0	0	BUG-016	
amatch_1209_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	amatch.c	1209	amatchNext	CWE-125	0	0		true
blobio_55_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:47	22	sqlite3_blob_open	CWE-476	0	0	BUG-044	
blobio_108_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:59	21	sqlite3_blob_open	CWE-476	0	0	BUG-055	
cksumvfs_796_integer-overflow	NO_REPRODUCER	FP	integer-overflow	cksumvfs.c	796	cksmRegisterVfs	CWE-190	0	0		true
closure_568_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:175	20	main	CWE-416	0	0	BUG-017	
