Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
tif_color_120_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_color.c	120	TIFFXYZToRGB	CWE-369	0	0		true
tif_color_146_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_color.c	146	TIFFCIELabToRGBInit	CWE-369	0	0		true
tif_color_156_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_color.c	156	TIFFCIELabToRGBInit	CWE-369	0	0		true
tif_color_166_divide-by-zero	NO_REPRODUCER	FP	divide-by-zero	tif_color.c	166	TIFFCIELabToRGBInit	CWE-369	0	0		true
tif_color_277_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_color.c	277	TIFFYCbCrToRGBInit	CWE-369	0	0		true
tif_color_281_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_color.c	281	TIFFYCbCrToRGBInit	CWE-369	0	0		true
tif_compress_211_integer-overflow	FP	REPRODUCER_BUILD_FAIL	integer-overflow	tif_compress.c	211	TIFFRegisterCODEC	CWE-190	0	0		true
tif_compress_211_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_compress.c	211	TIFFRegisterCODEC	CWE-476	0	0		true
tif_dirinfo_617_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_dirinfo.c	617	tagNameCompare	CWE-476	0	0		true
tif_dirinfo_685_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_dirinfo.c	685	_TIFFPrintFieldInfo	CWE-476	0	0		true
tif_dirread_1820_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	1820	TIFFReadDirEntryShortArray	CWE-190	0	0		true
tif_dirread_1997_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	1997	TIFFReadDirEntrySshortArray	CWE-190	0	0		true
tif_dirread_2172_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	2172	TIFFReadDirEntryLongArray	CWE-190	0	0		true
tif_dirread_2347_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	2347	TIFFReadDirEntrySlongArray	CWE-190	0	0		true
tif_dirread_2518_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	tif_dirread.c	2518	TIFFReadDirEntryLong8ArrayWithLimit	CWE-122	0	0		true
tif_dirread_2697_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	tif_dirread.c	2697	TIFFReadDirEntrySlong8Array	CWE-122	0	0		true
tif_dirread_2837_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	tif_dirread.c	2837	TIFFReadDirEntryFloatArray	CWE-122	0	0		true
tif_dirread_3077_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	3077	TIFFReadDirEntryDoubleArray	CWE-190	0	0		true
tif_dirread_3302_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	3302	TIFFReadDirEntryIfd8Array	CWE-190	0	0		true
tif_dirread_5654_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_dirread.c	5654	EstimateStripByteCounts	CWE-369	0	0		true
tif_dirread_5665_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_dirread.c	5665	EstimateStripByteCounts	CWE-125	0	0		true
tif_dirread_5694_divide-by-zero	NO_REPRODUCER	FP	divide-by-zero	tif_dirread.c	5694	EstimateStripByteCounts	CWE-369	0	0		true
tif_dirread_7453_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirread.c	7453	TIFFFetchNormalTag	CWE-190	0	0		true
tif_dirwrite_1198_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirwrite.c	1198	TIFFWriteDirectorySec	CWE-190	0	0		true
