Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
slh-dsa	BUILD_ERROR	FP			0			0	0		
x509	BUILD_ERROR	FP			0			0	0		
dtlsclient	BUILD_ERROR	FP			0			0	0		
quic-server	BUILD_ERROR	FP			0			0	0		
bignum	BUILD_ERROR	FP			0			0	0		
pem	BUILD_ERROR	FP			0			0	0		
ml-dsa	BUILD_ERROR	FP			0			0	0		
punycode	BUILD_ERROR	FP			0			0	0		
quic-lcidm	BUILD_ERROR	FP			0			0	0		
quic-srtm	BUILD_ERROR	FP			0			0	0		
ct	BUILD_ERROR	FP			0			0	0		
acert	BUILD_ERROR	FP			0			0	0		
asn1	BUILD_ERROR	FP			0			0	0		
dtlsserver	BUILD_ERROR	FP			0			0	0		
test-corpus	BUILD_ERROR	FP			0			0	0		
hashtable	BUILD_ERROR	FP			0			0	0		
quic-rcidm	BUILD_ERROR	FP			0			0	0		
cmp	BUILD_ERROR	FP			0			0	0		
provider	BUILD_ERROR	FP			0			0	0		
smime	BUILD_ERROR	FP			0			0	0		
server	BUILD_ERROR	FP			0			0	0		
asn1parse	BUILD_ERROR	FP			0			0	0		
decoder	BUILD_ERROR	FP			0			0	0		
bndiv	BUILD_ERROR	FP			0			0	0		
conf	BUILD_ERROR	FP			0			0	0		
quic-client	BUILD_ERROR	FP			0			0	0		
cms	BUILD_ERROR	FP			0			0	0		
v3name	BUILD_ERROR	FP			0			0	0		
client	BUILD_ERROR	FP			0			0	0		
ml-kem	BUILD_ERROR	FP			0			0	0		
crl	BUILD_ERROR	FP			0			0	0		
