Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
aix5ppc-core_307_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	memmove-vec-unaligned-erms.S	323	__memcpy_avx_unaligned_erms	CWE-122	0	0	BUG-016	
aout-cris_248_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	reproducer.c:149	46	main	CWE-125	0	0	BUG-033	
aout-cris_265_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:102	5	swap_ext_reloc_in	CWE-125	0	0	BUG-019	
archive_488_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	strtol_l.c:449	28	__GI_____strtol_l_internal	CWE-125	0	0	BUG-060	
archive_416_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:104	16	_bfd_add_bfd_to_archive_cache	CWE-476	0	0	BUG-020	
archive_2130_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	archive.c	2130	bfd_generic_stat_arch_elt	CWE-125	0	0		true
archive_2561_integer-overflow	NO_REPRODUCER	FP	integer-overflow	archive.c	2561	bfd_write_armap	CWE-190	0	0		true
bfd_2807_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	bfd.c	2807	bfd_record_phdr	CWE-190	0	0	BUG-001	
coff-aarch64_520_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:125	34	coff_pe_aarch64_relocate_section	CWE-125	0	0	BUG-028	
coff-alpha_1461_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:111	31	alpha_relocate_section	CWE-476	0	0	BUG-023	
coff-alpha_1671_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:45	13	alpha_relocate_section_repro	CWE-125	0	0	BUG-043	
coff-alpha_1683_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff-alpha.c	1683	alpha_relocate_section	CWE-125	0	0		true
coff-alpha_1873_heap-buffer-overflow	FP	NOT_REPRODUCIBLE	heap-buffer-overflow	coff-alpha.c	1873	alpha_relocate_section	CWE-122	0	0		true
coff-arm_568_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:102	30	coff_arm_rtype_to_howto	CWE-476	1	0	BUG-018	
coff-arm_1037_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coff-arm.c	1037	find_thumb_glue	CWE-190	0	0	BUG-002	
coff-arm_1066_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	memmove-vec-unaligned-erms.S	660	__memcpy_avx_unaligned_erms	CWE-190	0	0	BUG-017	
coff-arm_1544_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff-arm.c	1544	coff_arm_relocate_section	CWE-125	0	0		true
coff-arm_1547_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:45	8	bfd_put_32	CWE-787	0	0	BUG-045	
coff-arm_1810_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:110	14	bfd_put_32	CWE-476	0	0	BUG-021	
coff-arm_2090_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:115	17	bfd_arm_process_before_allocation	CWE-125	1	0	BUG-024	
coff-arm_2170_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:57	13	coff_arm_adjust_symndx	CWE-125	0	0	BUG-049	
coff-bfd_85_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coff-bfd.c	85	bfd_coff_get_auxent	CWE-125	0	0	BUG-003	
coff-bfd_92_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	coff-bfd.c	92	bfd_coff_get_auxent	CWE-122	0	0		true
coff-go32_112_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	coff-go32.c	112	_bfd_go32_swap_scnhdr_in	CWE-125	0	0		true
coff-go32_139_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	coff-go32.c	139	_bfd_go32_swap_scnhdr_out	CWE-125	0	0		true
coff-i386_510_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:31	8	bfd_putl16	CWE-122	0	0	BUG-036	
coff-i386_626_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:84	28	coff_i386_rtype_to_howto	CWE-476	0	0	BUG-059	
coff-loongarch64_77_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	coff-loongarch64.c	77	in_reloc_p	CWE-476	0	0		true
coff-mcore_418_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff-mcore.c	418	coff_mcore_relocate_section	CWE-125	0	0		true
coff-mips_766_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coff-mips.c	766	mips_relocate_hi	CWE-125	0	0	BUG-004	
coff-mips_772_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coff-mips.c	772	mips_relocate_hi	CWE-125	0	0	BUG-005	
coff-mips_790_heap-buffer-overflow	FP	NOT_REPRODUCIBLE	heap-buffer-overflow	coff-mips.c	790	mips_relocate_hi	CWE-787	0	0		true
coff-mips_1119_out-of-bounds-write	FP	NOT_REPRODUCIBLE	out-of-bounds-write	coff-mips.c	1119	mips_relocate_section	CWE-787	0	0		true
coff-rs6000_1938_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff-rs6000.c	1938	xcoff_write_armap_old	CWE-125	0	0		true
coff-rs6000_2063_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:45	19	xcoff_write_armap_big	CWE-125	0	0	BUG-044	
coff-rs6000_2160_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:120	19	xcoff_write_armap_big	CWE-125	0	0	BUG-026	
coff-rs6000_2178_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:67	19	xcoff_write_armap_big	CWE-125	2	0	BUG-052	
coff-rs6000_2244_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:126	19	xcoff_write_armap_big	CWE-125	0	0	BUG-029	
coff-rs6000_2262_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:52	23	xcoff_write_armap_big	CWE-125	0	0	BUG-047	
coff-rs6000_3224_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	coff-rs6000.c	3224	xcoff_reloc_type_br	CWE-125	0	0		true
coff-rs6000_3295_out-of-bounds-write	NO_REPRODUCER	FP	out-of-bounds-write	coff-rs6000.c	3295	xcoff_reloc_type_br	CWE-787	0	0		true
coff-rs6000_3887_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:34	21	bfd_get_16	CWE-125	0	0	BUG-041	
coff-rs6000_3934_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:35	8	bfd_put_16	CWE-787	0	0	BUG-042	
coff-rs6000_4175_integer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow	coff-rs6000.c	4175	xcoff_generate_rtinit	CWE-190	0	0		true
coff-rs6000_4211_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coff-rs6000.c	4211	xcoff_generate_rtinit	CWE-190	0	0	BUG-006	
coff-sh_426_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	reproducer.c:65	14	coff_sh_rtype_to_howto	CWE-125	0	0	BUG-051	
coff-sh_785_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	coff-sh.c	785	sh_relax_section	CWE-125	0	0		true
coff-sh_884_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	coff-sh.c	884	sh_relax_section	CWE-125	0	0		true
coff-sh_925_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:48	13	bfd_put_16	CWE-122	0	0	BUG-046	
coff-sh_1099_heap-buffer-overflow	FP	REPRODUCER_BUILD_FAIL	heap-buffer-overflow	coff-sh.c	1099	sh_relax_delete_bytes	CWE-122	0	0		true
coff-sh_1111_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	coff-sh.c	1111	sh_relax_delete_bytes	CWE-122	0	0		true
coff-tic4x_236_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:79	17	tic4x_reloc_processing	CWE-125	0	0	BUG-057	
coff-tic54x_257_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	reproducer.c:83	43	main	CWE-125	0	0	BUG-058	
coff-x86_64_146_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:127	26	coff_amd64_reloc	CWE-476	0	0	BUG-030	
coff-x86_64_647_heap-buffer-overflow	FP	NOT_REPRODUCIBLE	heap-buffer-overflow	coff-x86_64.c	647	coff_pe_amd64_relocate_section	CWE-787	0	0		true
coff-z80_344_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:138	25	extra_case	CWE-476	0	0	BUG-032	
coff-z8k_207_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	coff-z8k.c	207	extra_case	CWE-476	0	0		true
coff64-rs6000_792_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff64-rs6000.c	792	xcoff64_reloc_type_br	CWE-125	0	0		true
coff64-rs6000_628_integer-overflow-to-heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:69	42	_bfd_xcoff64_put_ldsymbol_name	CWE-190	0	0	BUG-055	
coff64-rs6000_1583_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	coff64-rs6000.c	1583	xcoff64_ppc_relocate_section	CWE-125	0	0	BUG-007	
coff64-rs6000_1689_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coff64-rs6000.c	1689	xcoff64_ppc_relocate_section	CWE-125	0	0		true
coff64-rs6000_1744_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:33	8	bfd_put_16	CWE-122	0	0	BUG-040	
coffgen_64_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coffgen.c	64	extract_long_section_name	CWE-125	0	0	BUG-010	
coffgen_346_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coffgen.c	346	coff_real_object_p	CWE-190	0	0	BUG-009	
coffgen_825_integer-overflow	NO_REPRODUCER	FP	integer-overflow	coffgen.c	825	coff_renumber_symbols	CWE-190	0	0		true
coffgen_645_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coffgen.c	645	bfd_coff_read_internal_relocs	CWE-190	0	0	BUG-011	
coffgen_1808_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	coffgen.c	1808	_bfd_coff_read_string_table	CWE-190	0	0	BUG-008	
coffgen_2241_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	coffgen.c	2241	coff_print_symbol	CWE-125	0	0		true
coffgen_2509_null-pointer-dereference	NO_REPRODUCER	FP	null-pointer-dereference	coffgen.c	2509	coff_find_nearest_line_with_names	CWE-476	0	0		true
coffgen_2596_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:121	48	coff_find_nearest_line_with_names	CWE-125	0	0	BUG-027	
coffgen_2988_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coffgen.c	2988	_bfd_coff_gc_mark_rsec	CWE-125	0	0		true
coffgen_2998_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	coffgen.c	2998	_bfd_coff_gc_mark_rsec	CWE-125	0	0		true
coffgen_3142_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:23	34	is_subsection	CWE-125	0	0	BUG-034	
coffgen_3118_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	coffgen.c	3118	coff_gc_sweep_symbol	CWE-476	0	0		true
cofflink_433_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:73	43	coff_link_add_symbols	CWE-476	0	0	BUG-056	
cofflink_1257_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:12	12	get_name	CWE-125	0	0	BUG-025	
cofflink_1259_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:54	12	get_name	CWE-122	0	0	BUG-048	
cofflink_1232_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	cofflink.c	1232	dores_com	CWE-125	0	0		true
cofflink_1292_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	cofflink.c	1292	process_embedded_commands	CWE-125	0	0	BUG-012	
cofflink_1681_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:61	15	bfd_coff_swap_sym_in	CWE-125	0	0	BUG-050	
cofflink_1687_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	cofflink.c	1687	coff_renumber_symbols	CWE-125	0	0		true
cofflink_1716_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	cofflink.c	1716	coff_renumber_symbols	CWE-125	0	0	BUG-013	
cofflink_1670_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	cofflink.c	1670	coff_renumber_symbols	CWE-125	0	0		true
cofflink_2265_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	cofflink.c	2265	_bfd_coff_final_link	CWE-125	0	0	BUG-014	
cofflink_2284_heap-buffer-overflow	FP	REPRODUCER_BUILD_FAIL	heap-buffer-overflow	cofflink.c	2284	_bfd_coff_final_link	CWE-122	0	0		true
cofflink_2480_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	cofflink.c	2480	_bfd_coff_final_link	CWE-125	0	0		true
cofflink_3165_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:127	28	coff_relocate_section_reproducer	CWE-476	0	0	BUG-031	
cofflink_3026_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:111	13	coff_relocate_section	CWE-125	0	0	BUG-022	
cofflink_3072_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:67	9	coff_relocate_section	CWE-125	0	0	BUG-053	
compress_659_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	compress.c	659	bfd_compress_section_contents	CWE-122	0	0	BUG-015	
compress_819_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:69	15	decompress_contents	CWE-125	0	0	BUG-054	
corefile_53_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:25	20	bfd_core_file_failing_command	CWE-476	0	0	BUG-035	
corefile_76_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:32	22	bfd_core_file_failing_signal	CWE-476	0	0	BUG-037	
corefile_100_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:33	20	bfd_core_file_pid	CWE-476	0	0	BUG-039	
corefile_126_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:32	24	core_file_matches_executable_p	CWE-476	0	0	BUG-038	
cpu-arm_427_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	cpu-arm.c	427	bfd_arm_update_notes	CWE-125	0	0		true
cpu-arm_429_heap-buffer-overflow	FP	NOT_REPRODUCIBLE	heap-buffer-overflow	cpu-arm.c	429	bfd_arm_update_notes	CWE-122	0	0		true
cpu-arm_347_integer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow	cpu-arm.c	347	arm_check_note	CWE-190	0	0		true
